iter	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
100	0.169873	0.0401643	0.495967	0.109878	0.109956	4.118497e+00	-3.646844e+01	-3.234994e+01
102	0.169873	0.0401643	0.495967	0.10977	0.109956	4.118497e+00	-3.657651e+01	-3.245801e+01
104	0.169873	0.0401643	0.495967	0.109449	0.105703	4.118497e+00	-3.801309e+01	-3.389460e+01
106	0.169873	0.0401643	0.495967	0.109275	0.105112	4.118497e+00	-3.836044e+01	-3.424195e+01
108	0.169873	0.0401643	0.495967	0.108308	0.103839	4.118497e+00	-3.974028e+01	-3.562178e+01
110	0.169873	0.0401643	0.495967	0.108308	0.105532	4.118497e+00	-3.923656e+01	-3.511806e+01
112	0.169873	0.0401643	0.495967	0.108331	0.109805	4.118497e+00	-3.808692e+01	-3.396842e+01
114	0.169873	0.0401643	0.54551	0.108331	0.109805	4.118497e+00	-3.742285e+01	-3.330436e+01
116	0.166725	0.0401643	0.54551	0.109502	0.109805	4.120421e+00	-3.458354e+01	-3.046312e+01
118	0.166725	0.0401643	0.50466	0.109671	0.109805	4.120421e+00	-3.408402e+01	-2.996360e+01
120	0.166725	0.0401643	0.50466	0.109671	0.106297	4.120421e+00	-3.481192e+01	-3.069150e+01
122	0.166725	0.0401643	0.50466	0.109671	0.10842	4.120421e+00	-3.435791e+01	-3.023749e+01
124	0.166725	0.0401643	0.50466	0.109079	0.10842	4.120421e+00	-3.495946e+01	-3.083904e+01
126	0.165039	0.0401643	0.50466	0.108621	0.106202	4.121438e+00	-3.592131e+01	-3.179987e+01
128	0.165039	0.0401643	0.512132	0.108008	0.106202	4.121438e+00	-3.482504e+01	-3.070360e+01
130	0.165039	0.0401643	0.512132	0.108819	0.106202	4.121438e+00	-3.396891e+01	-2.984747e+01
132	0.165039	0.0401643	0.510735	0.109929	0.108782	4.121438e+00	-3.264013e+01	-2.851869e+01
134	0.167917	0.0401643	0.510735	0.109891	0.108782	4.119697e+00	-3.289441e+01	-2.877472e+01
136	0.167917	0.0401643	0.510735	0.109545	0.108782	4.119697e+00	-3.324400e+01	-2.912430e+01
138	0.167917	0.0401643	0.510735	0.109545	0.108782	4.119697e+00	-3.324400e+01	-2.912430e+01
140	0.167917	0.0401643	0.510735	0.109545	0.108782	4.119697e+00	-3.324400e+01	-2.912430e+01
142	0.17035	0.0401643	0.510735	0.109848	0.105267	4.118203e+00	-3.400452e+01	-2.988632e+01
