iter	A(1)	B(1)	LnPrior	LnData	LnPosterior
0	-7.62918	4.7604	-6.804772e+00	-5.220135e+05	-5.220203e+05
1	-7.62918	4.7604	-6.804772e+00	-5.220135e+05	-5.220203e+05
2	-28.1259	4.7604	-1.046910e+01	-5.083065e+05	-5.083170e+05
3	-26.0499	4.7604	-9.906737e+00	-4.255617e+05	-4.255716e+05
4	-26.0499	4.7604	-9.906737e+00	-4.255617e+05	-4.255716e+05
5	-23.0111	4.7604	-9.161308e+00	-3.386397e+05	-3.386489e+05
6	-22.9538	4.7604	-9.148134e+00	-3.373905e+05	-3.373996e+05
7	-22.9538	4.7604	-9.148134e+00	-3.373905e+05	-3.373996e+05
8	-22.9538	4.7604	-9.148134e+00	-3.373905e+05	-3.373996e+05
9	-22.2938	4.7604	-8.998811e+00	-3.240484e+05	-3.240574e+05
10	-22.2938	4.7604	-8.998811e+00	-3.240484e+05	-3.240574e+05
11	-22.2938	4.7604	-8.998811e+00	-3.240484e+05	-3.240574e+05
12	-17.422	4.7604	-8.031375e+00	-2.848566e+05	-2.848647e+05
13	-17.422	4.7604	-8.031375e+00	-2.848566e+05	-2.848647e+05
14	-17.422	4.7604	-8.031375e+00	-2.848566e+05	-2.848647e+05
15	-17.422	4.7604	-8.031375e+00	-2.848566e+05	-2.848647e+05
16	-17.422	4.7604	-8.031375e+00	-2.848566e+05	-2.848647e+05
17	-18.0325	4.7604	-8.139605e+00	-2.840445e+05	-2.840527e+05
18	-18.0325	4.7604	-8.139605e+00	-2.840445e+05	-2.840527e+05
19	-18.0325	4.7604	-8.139605e+00	-2.840445e+05	-2.840527e+05
20	-18.0325	4.7604	-8.139605e+00	-2.840445e+05	-2.840527e+05
21	-18.0325	4.7604	-8.139605e+00	-2.840445e+05	-2.840527e+05
22	-18.0325	4.7604	-8.139605e+00	-2.840445e+05	-2.840527e+05
23	-18.0325	4.7604	-8.139605e+00	-2.840445e+05	-2.840527e+05
24	-18.0325	3.56445	-8.101784e+00	-2.051686e+05	-2.051767e+05
25	-18.0325	3.56445	-8.101784e+00	-2.051686e+05	-2.051767e+05
26	-11.9115	2.54477	-7.164401e+00	-9.586616e+04	-9.587332e+04
27	-5.1702	2.54477	-6.588634e+00	-4.871914e+04	-4.872573e+04
28	-5.1702	2.54477	-6.588634e+00	-4.871914e+04	-4.872573e+04
29	-5.1702	2.54477	-6.588634e+00	-4.871914e+04	-4.872573e+04
30	-7.02961	2.54477	-6.702056e+00	-4.175289e+04	-4.175959e+04
31	-7.02961	2.54477	-6.702056e+00	-4.175289e+04	-4.175959e+04
