iter	min_F(1)	max_F(1)	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
48	0.377927	0.427146	0.307761	0.0334788	0.388015	0.109947	0.109845	8.094237e+00	-2.243327e+02	-2.162385e+02
49	0.377927	0.651639	0.252335	0.0334788	0.388015	0.109947	0.109845	6.418656e+00	-2.012239e+02	-1.948053e+02
50	0.377927	0.651639	0.252335	0.0334788	0.403193	0.109947	0.108109	6.418656e+00	-2.012818e+02	-1.948631e+02
51	0.377927	0.761612	0.252335	0.0334788	0.403193	0.109913	0.108109	6.080907e+00	-2.014073e+02	-1.953264e+02
52	0.377927	0.730253	0.208303	0.0334788	0.409641	0.109892	0.109543	6.197615e+00	-1.972949e+02	-1.910972e+02
53	0.377927	0.784389	0.208303	0.0334788	0.420305	0.109892	0.109543	6.054681e+00	-1.966837e+02	-1.906290e+02
54	0.377927	0.784389	0.208303	0.0334788	0.420305	0.109892	0.109543	6.054681e+00	-1.966837e+02	-1.906290e+02
55	0.377927	0.745478	0.208303	0.0334788	0.425083	0.109892	0.108307	6.155308e+00	-1.974922e+02	-1.913369e+02
56	0.254365	0.99615	0.208303	0.0334788	0.425083	0.109961	0.108307	5.271931e+00	-1.972258e+02	-1.919539e+02
57	0.254365	0.99615	0.208303	0.0334788	0.425083	0.109961	0.108307	5.271931e+00	-1.972258e+02	-1.919539e+02
58	0.254365	0.88433	0.208303	0.0334788	0.425083	0.109961	0.108307	5.435325e+00	-1.972258e+02	-1.917905e+02
59	0.294715	0.650423	0.208303	0.0334788	0.426481	0.109961	0.105749	6.062514e+00	-1.982398e+02	-1.921773e+02
60	0.348045	0.572518	0.208303	0.0334788	0.426481	0.109494	0.109598	6.601494e+00	-1.988501e+02	-1.922486e+02
61	0.340068	0.644495	0.208303	0.0334788	0.428887	0.109474	0.109598	6.284655e+00	-1.993695e+02	-1.930849e+02
62	0.320739	0.644495	0.208303	0.0334788	0.428887	0.109474	0.109598	6.194229e+00	-1.993695e+02	-1.931753e+02
63	0.320739	0.644495	0.208303	0.0334788	0.428887	0.109474	0.109598	6.194229e+00	-1.993695e+02	-1.931753e+02
64	0.320739	0.482868	0.208303	0.0334788	0.428887	0.109474	0.103288	6.885826e+00	-2.013395e+02	-1.944537e+02
65	0.320739	0.721299	0.208303	0.0334788	0.42264	0.109347	0.103288	5.981358e+00	-2.012118e+02	-1.952305e+02
66	0.273075	0.728706	0.208303	0.0334788	0.42264	0.109276	0.103288	5.784721e+00	-2.014898e+02	-1.957051e+02
67	0.251429	0.525491	0.208303	0.0334788	0.42264	0.109276	0.109676	6.263707e+00	-1.991831e+02	-1.929194e+02
68	0.251429	0.540297	0.208303	0.0334788	0.42264	0.109276	0.109676	6.211092e+00	-1.991831e+02	-1.929720e+02
69	0.251429	0.825818	0.208303	0.0334788	0.42264	0.109276	0.109676	5.523754e+00	-1.991831e+02	-1.936594e+02
70	0.251429	0.825818	0.208303	0.0334788	0.42264	0.109932	0.109676	5.523754e+00	-1.966438e+02	-1.911200e+02
71	0.347267	0.571349	0.208303	0.0334788	0.42264	0.109932	0.109676	6.602046e+00	-1.966438e+02	-1.900417e+02
72	0.347267	0.501871	0.208303	0.0334788	0.42264	0.109932	0.109676	6.973192e+00	-1.966438e+02	-1.896706e+02
73	0.384934	0.454948	0.208303	0.0334788	0.42264	0.109932	0.109676	7.824797e+00	-1.966438e+02	-1.888190e+02
74	0.384934	0.454948	0.208303	0.0334788	0.42264	0.109932	0.109676	7.824797e+00	-1.966438e+02	-1.888190e+02
75	0.384934	0.463386	0.210932	0.0334788	0.43209	0.10988	0.1071	7.709176e+00	-1.991537e+02	-1.914445e+02
76	0.384934	0.463386	0.210932	0.0334788	0.425961	0.109643	0.1071	7.709176e+00	-1.987756e+02	-1.910664e+02
77	0.384934	0.463386	0.210932	0.0334788	0.425961	0.109909	0.1071	7.709176e+00	-1.977446e+02	-1.900354e+02
78	0.384934	0.463386	0.210932	0.0334788	0.425961	0.109909	0.1071	7.709176e+00	-1.977446e+02	-1.900354e+02
79	0.384934	0.579319	0.210932	0.0334788	0.425961	0.109909	0.1071	6.801818e+00	-1.977446e+02	-1.909428e+02
80	0.347661	0.488575	0.210932	0.0334788	0.425961	0.109909	0.1071	7.064674e+00	-1.977446e+02	-1.906799e+02
81	0.347661	0.489213	0.210932	0.0334788	0.425961	0.109909	0.1071	7.060162e+00	-1.977446e+02	-1.906844e+02
