iter	A(1)	B(1)	A(1.1)	B(1.1)	A(1.2)	B(1.2)	A(1.3)	B(1.3)	A(1.4)	B(1.4)	A(1.5)	B(1.5)	A(1.6)	B(1.6)	A(1.7)	B(1.7)	A(1.8)	B(1.8)	A(1.9)	B(1.9)	A(1.10)	B(1.10)	LnPrior	LnData	LnPosterior
0	-14.5144	7.31139	-14.5594	1.1687	-14.3811	7.26615	-14.4549	7.37726	-14.4495	7.46384	-14.6442	7.0265	-14.4673	7.19838	-14.5788	7.5114	-14.5135	7.03077	-14.7273	7.28215	-14.3967	7.55332	-4.678800e+02	-1.299077e+07	-1.299124e+07
1	-14.5144	7.31139	-14.5511	1.1687	-14.3811	7.2052	-14.4549	7.12272	-14.4495	7.34502	-14.7349	7.0265	-14.4999	7.02671	-14.6308	7.5114	-14.5135	7.03077	-14.9161	7.11755	-14.3967	7.55332	-4.771492e+02	-1.249852e+07	-1.249900e+07
2	-14.5144	7.31139	-14.5511	1.1687	-14.4107	7.18542	-14.4549	7.12272	-14.4495	7.34502	-14.79	7.0265	-14.5781	6.5433	-14.6308	7.4322	-14.5437	7.03077	-14.9161	7.11755	-14.4068	7.55332	-4.843874e+02	-1.215537e+07	-1.215586e+07
3	-14.5144	7.31139	-14.5511	1.1687	-14.4239	7.18542	-14.4549	6.954	-14.4495	7.34502	-14.79	7.0265	-14.5781	6.30414	-14.6308	7.0897	-14.5437	7.03077	-15.1424	7.07073	-14.4068	7.30963	-5.023237e+02	-1.151872e+07	-1.151923e+07
4	-14.5144	7.31139	-14.4915	1.1687	-14.6066	7.16985	-14.4549	6.954	-14.4667	7.34502	-14.8153	6.81225	-14.5894	6.30414	-14.6308	7.0897	-14.6535	7.03077	-15.1589	6.90947	-14.4068	7.03808	-5.093675e+02	-1.111395e+07	-1.111446e+07
5	-14.5144	7.31139	-14.445	1.1687	-14.6066	7.15143	-14.4549	6.954	-14.4667	7.03337	-14.8543	6.7751	-14.5894	6.20288	-14.6409	7.0897	-14.831	7.03077	-15.3155	6.71343	-14.4106	6.90935	-5.340008e+02	-1.065472e+07	-1.065526e+07
6	-14.5144	6.56212	-14.445	1.1687	-14.7097	7.15143	-14.5151	6.83923	-14.4667	7.03337	-14.8543	6.7751	-14.6006	5.83936	-14.6409	7.01398	-14.831	7.03077	-15.3155	6.67395	-14.4106	6.63102	-4.180662e+02	-1.020837e+07	-1.020879e+07
7	-14.7521	6.56212	-14.4431	1.1687	-14.8027	7.13117	-14.5151	6.83923	-14.5726	6.56515	-14.8571	5.55188	-14.6257	5.74504	-14.6748	7.01398	-14.9146	7.01174	-15.3155	6.67395	-14.4106	6.57976	-4.159005e+02	-9.309533e+06	-9.309949e+06
8	-14.7521	6.56212	-14.4259	1.1687	-14.8526	7.13117	-14.5151	6.83923	-14.5845	6.48662	-14.8571	5.37006	-14.6257	5.74504	-14.6748	7.01398	-14.9146	7.01174	-15.3321	6.67395	-14.42	6.47464	-4.224170e+02	-9.152341e+06	-9.152764e+06
9	-14.7521	6.56212	-14.4259	1.1687	-15.0617	7.13117	-14.6017	6.83923	-14.5845	6.09645	-14.8571	4.85916	-14.6257	5.74504	-14.7089	6.95096	-14.9146	6.95174	-15.5041	6.67395	-14.4292	6.39367	-4.560728e+02	-8.691462e+06	-8.691918e+06
10	-14.7521	6.56212	-14.4259	1.1687	-15.1253	7.13117	-14.8724	6.83923	-14.5845	5.72123	-15.0269	4.85916	-14.6284	5.74504	-14.7089	6.95096	-14.9322	6.95174	-15.5179	6.62889	-14.4355	6.26365	-4.689564e+02	-8.439745e+06	-8.440214e+06
11	-14.7521	6.56212	-14.3527	1.1687	-15.1253	7.13117	-14.8724	6.43014	-14.5845	5.68583	-15.1353	4.85916	-14.6472	5.65506	-14.7089	6.95096	-15.0249	6.95174	-15.5179	6.62889	-14.4355	6.26365	-4.790239e+02	-8.165138e+06	-8.165617e+06
12	-14.7521	6.56212	-14.3459	1.1687	-15.1253	7.07368	-15.0791	6.24009	-14.5845	5.28907	-15.1791	4.85916	-14.6472	5.61852	-14.7089	6.95096	-15.0249	6.95174	-15.6103	6.62889	-14.4355	6.26365	-5.050068e+02	-7.887075e+06	-7.887580e+06
13	-14.7521	6.56212	-14.3459	1.1687	-15.1653	6.94903	-15.0791	6.24009	-14.67	4.88433	-15.2413	4.43669	-14.6472	5.61852	-14.7089	6.88111	-15.2252	6.8922	-15.6103	6.62889	-14.4355	6.26365	-5.484194e+02	-7.537466e+06	-7.538014e+06
14	-14.7521	6.56212	-14.3459	1.1687	-15.1653	6.94903	-15.5584	5.80998	-14.7614	4.88433	-15.4892	4.43669	-14.6892	5.61852	-14.7273	6.88111	-15.2395	6.7988	-15.6103	6.62889	-14.4434	6.26365	-5.955919e+02	-7.277687e+06	-7.278282e+06
15	-14.7521	6.56212	-14.2904	1.1687	-15.2188	6.94903	-15.8183	5.80998	-14.9297	4.88433	-15.5111	4.43669	-14.7289	5.60938	-14.7273	6.88111	-15.5677	6.78254	-15.6103	6.62889	-14.449	6.17442	-6.498375e+02	-7.187234e+06	-7.187884e+06
16	-14.7521	6.56212	-14.2904	1.1687	-15.2188	6.91395	-16.0518	5.80998	-15.1411	4.88433	-15.5111	4.43669	-14.7395	5.3692	-14.7351	6.59292	-15.6095	6.75759	-15.6103	6.31853	-14.46	6.17442	-6.919915e+02	-6.754776e+06	-6.755468e+06
17	-14.7521	6.56212	-14.2904	1.1687	-15.2188	6.91395	-16.0518	5.80998	-15.187	4.58041	-15.647	4.40443	-14.7395	5.3692	-14.7351	6.59292	-15.7313	6.75759	-15.6103	6.17042	-14.4687	6.17442	-7.328646e+02	-6.621372e+06	-6.622105e+06
18	-14.7521	6.56212	-14.2467	1.1687	-15.2188	6.91395	-16.263	5.80998	-15.187	4.58041	-15.6747	4.16103	-14.7395	5.3692	-14.7672	6.59292	-15.7575	6.75759	-15.6103	6.17042	-14.473	6.17442	-7.835221e+02	-6.574005e+06	-6.574789e+06
19	-14.7521	6.56212	-14.2467	1.1687	-15.2229	6.82614	-16.263	5.80998	-15.252	4.58041	-15.6747	3.9434	-14.8132	5.3692	-14.7917	6.32682	-15.7575	6.64239	-15.6103	6.17042	-14.4771	6.06697	-8.013320e+02	-6.256850e+06	-6.257651e+06
20	-14.7521	6.56212	-14.2467	1.1687	-15.2777	6.82614	-16.2929	5.80998	-15.252	4.58041	-15.6747	3.9434	-14.8132	5.3692	-14.7917	6.26874	-15.8024	6.58062	-15.6103	6.13065	-14.4771	6.06697	-8.139605e+02	-6.174075e+06	-6.174889e+06
21	-14.7521	6.56212	-14.2467	1.1687	-15.2777	6.77306	-16.6506	5.80998	-15.252	4.167	-15.2049	3.9434	-14.8132	5.3692	-14.8113	6.26874	-15.8024	6.58062	-15.6843	6.13065	-14.4784	5.78654	-8.766117e+02	-5.962884e+06	-5.963761e+06
22	-14.7521	6.56212	-14.158	1.1687	-15.2777	6.77306	-16.6506	5.56953	-15.252	3.73007	-15.2049	3.70408	-14.9492	5.3692	-14.8113	6.1351	-15.964	6.58062	-16.2338	6.13065	-14.4784	5.78654	-1.019227e+03	-5.729506e+06	-5.730525e+06
23	-14.7521	6.56212	-14.158	1.1687	-15.4255	6.57389	-17.0478	5.45586	-15.252	3.73007	-15.2049	3.65379	-15.004	5.3692	-14.8113	6.1351	-16.3371	6.54837	-16.4924	6.13065	-14.4784	5.78654	-1.212499e+03	-5.537387e+06	-5.538599e+06
24	-14.7521	6.56212	-14.1072	1.1687	-15.4255	6.57389	-17.5851	5.36343	-15.2309	3.73007	-15.0105	3.65379	-15.0538	5.04302	-14.8113	6.1351	-16.3371	6.54837	-16.4924	6.13065	-14.4784	5.78654	-1.360576e+03	-5.398508e+06	-5.399869e+06
25	-14.7521	6.56212	-14.1072	1.1687	-15.4255	6.57389	-17.5851	5.1291	-15.0518	3.73007	-14.7149	3.65379	-15.0957	5.04302	-14.8113	6.1351	-16.3371	6.54837	-16.6028	6.07892	-14.4871	5.78654	-1.379569e+03	-5.309850e+06	-5.311230e+06
26	-14.7521	4.3434	-14.1072	1.1687	-15.4255	6.41161	-17.5851	5.11369	-14.6269	3.73007	-14.6227	3.65379	-15.0957	4.39552	-14.8358	6.1351	-16.6817	6.54837	-17.3525	5.57382	-14.5045	5.07003	-1.290808e+03	-4.658544e+06	-4.659834e+06
27	-14.8307	4.3434	-14.0538	1.1687	-15.5893	6.21258	-18.415	5.07436	-14.374	3.73007	-13.5173	3.65379	-15.1364	4.39552	-14.8738	6.1351	-16.6817	6.54837	-17.6773	5.27218	-14.5045	4.76113	-1.672258e+03	-4.385826e+06	-4.387498e+06
28	-14.8307	4.3434	-14.0538	1.1687	-15.5893	6.04032	-18.5032	5.07436	-14.0892	3.73007	-13.3267	3.65379	-15.3901	4.39552	-14.9201	5.84478	-16.6817	6.46103	-18.1538	5.27218	-14.5045	4.09945	-1.880686e+03	-4.026418e+06	-4.028299e+06
29	-15.4926	4.3434	-14.0538	1.1687	-15.6841	6.04032	-18.5098	5.02287	-14.0892	3.69617	-13.3267	3.65379	-15.3901	4.39552	-14.9201	5.84478	-17.1548	6.3324	-18.1538	4.59412	-14.5068	4.09945	-1.696386e+03	-3.824550e+06	-3.826247e+06
30	-15.4926	4.3434	-13.8769	1.1687	-15.6841	6.00847	-18.7108	5.02287	-14.0892	3.42836	-13.3267	3.65379	-15.3901	4.39552	-14.9201	5.66764	-17.1548	6.2359	-18.1538	4.59412	-14.5068	3.52161	-1.786734e+03	-3.635332e+06	-3.637119e+06
31	-15.5631	4.3434	-13.8769	1.1687	-15.7275	5.56282	-19.629	5.02287	-14.0892	3.42836	-13.1936	3.23829	-15.6326	4.39552	-14.9556	5.66764	-17.9828	6.2359	-18.1538	4.55172	-14.479	3.52161	-2.303972e+03	-3.423652e+06	-3.425956e+06
32	-15.5631	4.3434	-13.8769	1.1687	-15.7275	5.01009	-19.629	4.73146	-13.559	3.42836	-13.1936	3.1278	-15.6326	4.2117	-15.2624	5.37084	-17.9828	6.2359	-18.1538	4.55172	-14.4417	3.52161	-2.364101e+03	-3.086231e+06	-3.088595e+06
33	-15.6167	4.3434	-13.8769	1.1687	-15.7275	5.01009	-19.629	4.51733	-13.559	3.42836	-12.6353	3.1278	-15.5301	4.2117	-15.2624	5.37084	-17.9828	6.2359	-18.1538	4.12345	-14.4417	3.52161	-2.505524e+03	-3.026265e+06	-3.028771e+06
34	-15.6167	4.3434	-13.8627	1.1687	-15.8027	5.01009	-19.2505	4.51733	-13.1307	3.23277	-12.4984	3.08172	-15.5301	3.74199	-15.2624	5.32443	-17.9828	5.98107	-17.5884	4.12345	-14.4417	3.52161	-2.374288e+03	-2.841148e+06	-2.843522e+06
35	-15.6167	4.3434	-13.8627	1.1687	-15.8285	3.91521	-18.3403	4.51733	-13.1307	3.23277	-11.298	3.08172	-15.5301	3.5611	-15.2624	5.32443	-17.9828	5.98107	-17.2699	4.12345	-14.4417	3.52161	-2.474019e+03	-2.684440e+06	-2.686914e+06
36	-15.0321	4.3434	-13.7326	1.1687	-15.8285	3.90283	-18.3403	4.24123	-12.72	3.23277	-11.298	2.64642	-15.4783	3.46015	-15.3943	5.30259	-18.0855	5.98107	-17.2699	4.12345	-14.4077	3.45825	-2.612406e+03	-2.614732e+06	-2.617344e+06
37	-15.0321	3.47897	-13.7177	1.1687	-15.8104	3.60699	-18.1046	3.95831	-12.72	3.23277	-11.298	2.64642	-15.4783	3.46015	-15.737	5.30259	-18.2654	5.98107	-17.2699	4.12345	-14.4064	3.45825	-2.571720e+03	-2.576211e+06	-2.578782e+06
38	-15.0321	3.47897	-13.6586	1.1687	-15.8018	3.61929	-17.8331	3.78489	-12.2576	3.23277	-10.4384	2.64642	-15.4783	3.43554	-15.9704	5.23215	-18.2654	5.49779	-16.8575	4.12345	-14.398	3.45825	-2.878597e+03	-2.353282e+06	-2.356160e+06
39	-15.0321	3.74679	-13.6586	1.1687	-15.7735	3.61929	-16.4237	3.29863	-11.3909	3.23277	-10.2474	2.64642	-15.4783	3.32441	-15.9704	5.23215	-18.2654	5.49779	-16.8479	4.12345	-14.3695	3.45825	-2.951769e+03	-2.310431e+06	-2.313383e+06
40	-15.0321	3.39365	-13.0295	1.1687	-15.7735	3.61929	-16.4237	3.29863	-11.3004	3.23277	-10.2474	2.64642	-15.1249	3.32441	-15.9704	5.23215	-18.2654	5.49779	-16.6877	4.12345	-14.3476	3.45825	-3.054577e+03	-2.263798e+06	-2.266853e+06
41	-14.9877	3.39365	-13.0295	1.1687	-15.7164	3.71223	-16.4237	3.29863	-11.3004	3.23277	-9.92994	2.64642	-15.1249	3.32441	-15.9704	4.9213	-18.6976	4.82407	-16.6877	4.12345	-14.3476	3.45825	-3.301544e+03	-2.011611e+06	-2.014913e+06
42	-14.9877	3.39365	-12.9654	1.1687	-15.7164	3.71223	-16.4237	3.34706	-11.1672	3.1227	-9.92994	2.64642	-14.8287	3.32441	-15.9704	4.9213	-18.6976	4.47972	-16.3964	3.99874	-14.3278	3.45825	-3.308239e+03	-1.935050e+06	-1.938359e+06
43	-14.9877	3.39365	-12.9654	1.1687	-15.7164	3.71223	-16.4237	3.39369	-10.896	3.1227	-9.5542	2.40308	-14.8287	3.32441	-15.9704	4.76484	-18.6976	4.47972	-16.3964	3.9548	-14.3278	3.2542	-3.611765e+03	-1.884771e+06	-1.888383e+06
44	-14.9877	3.39365	-12.8381	1.1687	-15.6466	3.71223	-16.4237	3.39369	-10.7184	3.01582	-9.5542	2.40308	-14.8287	3.32441	-16.1459	4.60466	-18.6976	4.47972	-16.3964	3.9548	-14.3278	3.2542	-3.722223e+03	-1.833117e+06	-1.836839e+06
45	-14.9877	3.39365	-12.8381	1.1687	-15.6466	3.71223	-15.8722	3.39369	-10.7184	3.01582	-9.14191	2.40308	-14.8287	3.32441	-16.1459	4.60466	-18.267	4.47972	-16.0138	3.78476	-14.3221	3.2542	-3.692058e+03	-1.801745e+06	-1.805437e+06
46	-14.9877	3.39365	-12.3957	1.1687	-15.6466	3.71223	-15.0818	3.39369	-10.7184	2.94382	-6.47309	2.09585	-14.8287	3.32441	-16.1459	4.55473	-17.3882	4.47972	-16.0138	3.78476	-14.3071	3.2542	-5.434038e+03	-1.722987e+06	-1.728422e+06
47	-14.9877	3.39365	-11.705	1.1687	-15.6466	3.71223	-15.0818	3.39369	-10.6586	2.94382	-5.52553	2.09585	-14.8287	3.32441	-16.1782	4.55473	-17.3882	4.47581	-16.0138	3.78476	-14.2663	3.33191	-6.520646e+03	-1.679049e+06	-1.685569e+06
48	-14.7347	3.39365	-11.6253	1.1687	-15.6466	3.71223	-13.996	3.28458	-10.4512	2.94382	-5.52553	2.09585	-14.6905	3.32441	-16.1782	4.55473	-17.3882	4.47581	-14.3488	3.78476	-14.1898	3.33191	-6.295944e+03	-1.629686e+06	-1.635982e+06
49	-14.7347	3.39365	-11.2956	1.1687	-15.6466	3.71223	-13.6206	3.28458	-8.24742	2.91982	-5.36407	2.09585	-14.6905	3.28273	-16.5648	4.55473	-17.3882	4.47581	-14.3488	3.78476	-14.1898	3.33191	-7.839150e+03	-1.590412e+06	-1.598251e+06
50	-14.7347	3.39365	-11.2956	1.1687	-15.6466	3.71223	-13.4012	3.28458	-8.18588	2.91982	-5.36407	2.09585	-14.6905	3.28273	-16.7993	4.42844	-16.997	4.45377	-14.3488	3.78476	-14.1898	3.33191	-7.851590e+03	-1.560517e+06	-1.568368e+06
51	-14.7347	3.39365	-11.1825	1.1687	-15.5263	3.71223	-12.9541	3.28458	-8.18588	2.82558	-5.16907	2.09585	-14.6905	3.28273	-17.0651	4.25394	-16.997	4.45377	-14.0087	3.78476	-14.1898	3.33191	-8.209521e+03	-1.512867e+06	-1.521076e+06
52	-14.7347	3.39365	-11.1825	1.1687	-15.5263	3.71223	-12.9541	3.28458	-8.18588	2.82558	-5.16907	2.09585	-14.3321	3.28273	-17.0651	4.25394	-16.997	4.41869	-14.0087	3.78476	-14.1437	3.33191	-8.219230e+03	-1.500781e+06	-1.509000e+06
53	-14.7347	3.39365	-11.1825	1.1687	-15.5225	3.71223	-12.9541	2.86694	-8.18588	2.55656	-5.16907	2.09585	-13.7379	3.28273	-17.0651	3.91963	-16.997	4.41869	-14.0087	3.78476	-14.1437	3.33191	-8.262754e+03	-1.438401e+06	-1.446663e+06
54	-14.3573	3.39365	-10.7108	1.1687	-15.5225	3.71223	-12.9541	2.86694	-7.89085	2.55656	-5.16907	2.09585	-13.5154	3.28273	-16.6099	3.41092	-16.997	4.41869	-14.0087	3.78476	-14.1437	3.33191	-7.887470e+03	-1.378441e+06	-1.386328e+06
55	-14.2668	3.27304	-10.6679	1.1687	-15.3861	3.71223	-12.9541	2.86694	-7.05193	2.37601	-5.16907	2.09585	-13.4637	3.28273	-16.6064	3.41092	-16.997	4.41869	-12.3466	3.78476	-14.1272	3.33191	-8.495390e+03	-1.357978e+06	-1.366473e+06
56	-14.2668	3.27304	-10.6679	1.1687	-15.3652	3.71223	-12.2896	2.86694	-6.77149	2.37601	-5.16907	2.09585	-13.4637	3.08408	-16.6064	3.2781	-16.997	4.41869	-12.3466	3.78476	-14.0638	3.33191	-8.809944e+03	-1.339369e+06	-1.348179e+06
57	-14.1646	3.27304	-10.311	1.1687	-15.3489	3.71223	-12.2896	2.86694	-5.88742	2.37601	-5.16907	2.09585	-13.4637	3.08408	-16.6064	3.2781	-16.997	4.41869	-12.3466	3.78476	-13.9439	3.33191	-9.445646e+03	-1.316378e+06	-1.325824e+06
58	-14.1646	3.15132	-9.97923	1.1687	-15.2953	3.71223	-12.2896	2.86694	-5.88742	2.37601	-5.16907	2.09585	-13.1496	3.08408	-16.5187	3.2781	-16.997	4.35126	-12.3466	3.78476	-13.8839	3.21804	-9.571687e+03	-1.282965e+06	-1.292536e+06
59	-13.8565	2.83977	-9.51223	1.1687	-15.2953	3.71131	-12.2896	2.86694	-5.79361	2.37601	-5.16907	2.09585	-13.0027	3.08408	-16.2892	3.2781	-16.997	4.35126	-12.3466	3.78476	-13.8702	3.26578	-9.219294e+03	-1.255591e+06	-1.264810e+06
